"","Log2 fold change","std error (log2)","Lower confidence limit (log2)","Upper confidence limit (log2)","Linear fold change","Lower confidence limit (linear)","Upper confidence limit (linear)","P-value","BY.p.value","method","probe.ID"
"CD69-mRNA",1.55,0.439,0.692,2.41,2.93,1.62,5.32,0.000736,1,"lm.nb","NM_001781.2:88"
"CDKN1A-mRNA",0.64,0.303,0.0454,1.23,1.56,1.03,2.35,0.0386,1,"lm.nb","NM_000389.2:1975"
"CASP9-mRNA",0.695,0.355,8.98e-05,1.39,1.62,1,2.62,0.0541,1,"lm.nb","XM_011542270.1:326"
"PDGFA-mRNA",0.831,0.45,-0.0513,1.71,1.78,0.965,3.28,0.0693,1,"lm.nb","NM_033023.4:2390"
"CX3CL1-mRNA",0.724,0.412,-0.0821,1.53,1.65,0.945,2.89,0.0829,1,"lm.nb","NM_002996.3:1850"
"PCK2-mRNA",0.373,0.22,-0.0588,0.805,1.3,0.96,1.75,0.0951,1,"lm.nb","NM_001018073.2:1307"
"TTC30A-mRNA",0.355,0.211,-0.0583,0.767,1.28,0.96,1.7,0.0969,1,"lm.nb","NM_152275.3:2492"
"HDAC11-mRNA",0.865,0.537,-0.188,1.92,1.82,0.878,3.78,0.112,1,"lm.nb","NM_001330636.1:865"
"IFIT2-mRNA",0.821,0.52,-0.199,1.84,1.77,0.871,3.58,0.119,1,"lm.nb","NM_001547.4:1995"
"VEGFA-mRNA",-0.476,0.311,-1.09,0.134,0.719,0.471,1.1,0.131,1,"lm.nb","NM_001171623.1:2212"
"MICB-mRNA",0.525,0.344,-0.15,1.2,1.44,0.901,2.3,0.132,1,"lm.nb","NM_005931.3:1387"
"KRAS-mRNA",0.35,0.229,-0.1,0.8,1.27,0.933,1.74,0.132,1,"lm.nb","NM_004985.3:1790"
"PLA1A-mRNA",0.697,0.492,-0.268,1.66,1.62,0.831,3.16,0.161,1,"lm.nb","NM_015900.2:1250"
"CCL7-mRNA",0.693,0.492,-0.272,1.66,1.62,0.828,3.16,0.164,1,"lm.nb","NM_006273.3:588"
"IL6R-mRNA",-0.461,0.331,-1.11,0.189,0.727,0.463,1.14,0.169,1,"lm.nb","NM_000565.3:846"
"BIRC3-mRNA",0.512,0.381,-0.235,1.26,1.43,0.849,2.39,0.184,1,"lm.nb","NM_001165.4:6567"
"GPC4-mRNA",0.577,0.431,-0.268,1.42,1.49,0.83,2.68,0.185,1,"lm.nb","NM_001448.2:820"
"TICAM1-mRNA",0.62,0.477,-0.315,1.56,1.54,0.804,2.94,0.198,1,"lm.nb","NM_182919.3:2552"
"PFKM-mRNA",-0.284,0.227,-0.729,0.161,0.821,0.603,1.12,0.216,1,"lm.nb","NM_000289.5:2672"
"CCL3/L1-mRNA",0.736,0.603,-0.446,1.92,1.67,0.734,3.78,0.227,1,"lm.nb","NM_021006.5:411"
