ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Regulation,Cell_Population,Treatment
mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (house mouse),3/11,294/9771,0.00371787053044412,0.0996141646730936,0.0946270627189849,16197/20304/16182,3,UPREGULATED,CD8_EM,0037
mmu04061,Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse),2/11,95/9771,0.00485922754502896,0.0996141646730936,0.0946270627189849,20304/16182,2,UPREGULATED,CD8_EM,0037
mmu04668,TNF signaling pathway - Mus musculus (house mouse),2/11,118/9771,0.00740709071014019,0.101230239705249,0.0961622302719954,20304/16182,2,UPREGULATED,CD8_EM,0037
mmu04670,Leukocyte transendothelial migration - Mus musculus (house mouse),2/12,119/9771,0.00896336764785467,0.163942099151481,0.138056504548616,12767/22165,2,DOWNREGULATED,CD8_EM,0037
mmu04068,FoxO signaling pathway - Mus musculus (house mouse),2/12,133/9771,0.0110999883530511,0.163942099151481,0.138056504548616,12125/16598,2,DOWNREGULATED,CD8_EM,0037
mmu05206,MicroRNAs in cancer - Mus musculus (house mouse),2/12,303/9771,0.0515320600292672,0.193417604970607,0.162877983133143,18669/12125,2,DOWNREGULATED,CD8_EM,0037
mmu03260,Virion - Human immunodeficiency virus - Mus musculus (house mouse),1/12,10/9771,0.0122191867086627,0.163942099151481,0.138056504548616,12767,1,DOWNREGULATED,CD8_EM,0037
mmu00604,Glycosphingolipid biosynthesis - ganglio series - Mus musculus (house mouse),1/12,15/9771,0.0182773152118959,0.163942099151481,0.138056504548616,15212,1,DOWNREGULATED,CD8_EM,0037
mmu00603,Glycosphingolipid biosynthesis - globo and isoglobo series - Mus musculus (house mouse),1/12,17/9771,0.0206910155227321,0.163942099151481,0.138056504548616,15212,1,DOWNREGULATED,CD8_EM,0037
mmu00511,Other glycan degradation - Mus musculus (house mouse),1/12,18/9771,0.0218958246075921,0.163942099151481,0.138056504548616,15212,1,DOWNREGULATED,CD8_EM,0037
mmu00531,Glycosaminoglycan degradation - Mus musculus (house mouse),1/12,21/9771,0.0255021043124526,0.163942099151481,0.138056504548616,15212,1,DOWNREGULATED,CD8_EM,0037
mmu00790,Folate biosynthesis - Mus musculus (house mouse),1/12,26/9771,0.031485495438569,0.177105911841951,0.149141820498485,268566,1,DOWNREGULATED,CD8_EM,0037
mmu04215,Apoptosis - multiple species - Mus musculus (house mouse),1/12,32/9771,0.0386211044086313,0.193105522043157,0.162615176457395,12125,1,DOWNREGULATED,CD8_EM,0037
mmu00513,Various types of N-glycan biosynthesis - Mus musculus (house mouse),1/12,43/9771,0.0515780279921618,0.193417604970607,0.162877983133143,15212,1,DOWNREGULATED,CD8_EM,0037
mmu04672,Intestinal immune network for IgA production - Mus musculus (house mouse),1/12,43/9771,0.0515780279921618,0.193417604970607,0.162877983133143,12767,1,DOWNREGULATED,CD8_EM,0037
mmu00520,Amino sugar and nucleotide sugar metabolism - Mus musculus (house mouse),1/12,52/9771,0.0620598684253298,0.196590441043404,0.165549845089183,15212,1,DOWNREGULATED,CD8_EM,0037
mmu02010,ABC transporters - Mus musculus (house mouse),1/12,52/9771,0.0620598684253298,0.196590441043404,0.165549845089183,18669,1,DOWNREGULATED,CD8_EM,0037
mmu00600,Sphingolipid metabolism - Mus musculus (house mouse),1/12,55/9771,0.0655301470144681,0.196590441043404,0.165549845089183,15212,1,DOWNREGULATED,CD8_EM,0037
mmu03250,Viral life cycle - HIV-1 - Mus musculus (house mouse),1/12,63/9771,0.0747267634043044,0.206878368849079,0.17421336324133,12767,1,DOWNREGULATED,CD8_EM,0037
mmu00970,Aminoacyl-tRNA biosynthesis - Mus musculus (house mouse),1/12,66/9771,0.0781540504540966,0.206878368849079,0.17421336324133,102436,1,DOWNREGULATED,CD8_EM,0037
mmu01521,EGFR tyrosine kinase inhibitor resistance - Mus musculus (house mouse),1/12,80/9771,0.093994721633438,0.225334910769831,0.189755714332489,12125,1,DOWNREGULATED,CD8_EM,0037
mmu04662,B cell receptor signaling pathway - Mus musculus (house mouse),1/12,84/9771,0.0984745743933622,0.225334910769831,0.189755714332489,14728,1,DOWNREGULATED,CD8_EM,0037
mmu05210,Colorectal cancer - Mus musculus (house mouse),1/12,88/9771,0.102934113536501,0.225334910769831,0.189755714332489,12125,1,DOWNREGULATED,CD8_EM,0037
mmu04727,GABAergic synapse - Mus musculus (house mouse),1/12,90/9771,0.105156291692588,0.225334910769831,0.189755714332489,268566,1,DOWNREGULATED,CD8_EM,0037
mmu04061,Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse),1/12,95/9771,0.110689679190658,0.226410707435436,0.190661648366683,12767,1,DOWNREGULATED,CD8_EM,0037
mmu04976,Bile secretion - Mus musculus (house mouse),1/12,101/9771,0.117288335182185,0.229477177530363,0.193243938972937,18669,1,DOWNREGULATED,CD8_EM,0037
mmu05146,Amoebiasis - Mus musculus (house mouse),1/12,108/9771,0.12493002614402,0.234243799020037,0.197257936016873,20723,1,DOWNREGULATED,CD8_EM,0037
mmu05171,Coronavirus disease - COVID-19 - Mus musculus (house mouse),58/181,334/9771,2.15163206945845e-41,2.3667952764043e-39,1.97044200045142e-39,269261/22121/268449/20054/100503670/20044/75617/67115/20068/18751/56040/20104/20055/20042/319195/67097/76846/270106/19899/65019/76808/20091/20084/19942/16785/26961/19921/78294/19941/20103/67891/19989/68052/19951/67025/66480/11837/26451/27050/20085/19933/20102/18707/20115/19896/19946/27207/20088/16898/20005/110954/66475/267019/67427/14109/67186/20116/22031,58,UPREGULATED,CD8_Naive,0037
mmu03010,Ribosome - Mus musculus (house mouse),55/181,265/9771,1.50852263446126e-43,3.31874979581476e-41,2.76297829890799e-41,269261/22121/268449/20054/100503670/20044/75617/67115/20068/56040/20104/20055/20042/319195/67097/76846/270106/19899/65019/76808/20091/20084/19942/16785/26961/19921/78294/19941/20103/67891/19989/68052/19951/67025/66480/11837/26451/27050/20085/19933/20102/20115/19896/19946/27207/20088/16898/20005/110954/66475/267019/67427/14109/67186/20116,55,UPREGULATED,CD8_Naive,0037
mmu04660,T cell receptor signaling pathway - Mus musculus (house mouse),14/181,122/9771,5.06279261157975e-08,3.71271458182515e-06,3.09096812075395e-06,17444/18761/12526/12525/12503/12500/18707/19264/12502/14360/16818/56637/19055/108723,14,UPREGULATED,CD8_Naive,0037
mmu04810,Regulation of actin cytoskeleton - Mus musculus (house mouse),12/181,232/9771,0.00125260606442062,0.0250521212884123,0.020856789972171,74117/19241/19354/18707/17886/109711/544963/18718/16421/16407/66214/54004,12,UPREGULATED,CD8_Naive,0037
mmu05135,Yersinia infection - Mus musculus (house mouse),11/181,136/9771,4.24998148450837e-05,0.00214601736660065,0.00178663646788762,12526/12525/140580/74117/19354/18707/23880/110651/16818/56637/215280,11,UPREGULATED,CD8_Naive,0037
mmu04310,Wnt signaling pathway - Mus musculus (house mouse),11/181,175/9771,0.00040084746341227,0.0146977403251166,0.0122363962515325,12445/18751/16842/19354/407821/68339/21414/12914/18099/56637/19055,11,UPREGULATED,CD8_Naive,0037
mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),11/181,226/9771,0.00318939676380992,0.0438542055023864,0.0365101997962452,58208/56458/14247/21417/21813/70122/108829/20185/16421/12394/109115,11,UPREGULATED,CD8_Naive,0037
mmu04015,Rap1 signaling pathway - Mus musculus (house mouse),10/181,214/9771,0.00644013130657153,0.0674680422593208,0.0561695662828795,78473/18751/56508/11513/14026/19354/18707/192786/54519/23880,10,UPREGULATED,CD8_Naive,0037
mmu05132,Salmonella infection - Mus musculus (house mouse),10/181,252/9771,0.0187677071087433,0.142375709100811,0.118532887002589,140580/16842/74117/74734/27050/18707/20336/19264/21414/19157,10,UPREGULATED,CD8_Naive,0037
mmu04520,Adherens junction - Mus musculus (house mouse),9/181,92/9771,4.87731219681966e-05,0.00214601736660065,0.00178663646788762,16842/216527/19354/14360/109711/21813/21414/12914/18099,9,UPREGULATED,CD8_Naive,0037
mmu05225,Hepatocellular carcinoma - Mus musculus (house mouse),9/181,175/9771,0.00521552350725659,0.0632100494781551,0.0526246344937751,18751/16842/18707/239985/21813/21414/93760/56637/67155,9,UPREGULATED,CD8_Naive,0037
mmu05167,Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),9/181,223/9771,0.0228621584751031,0.152414389834021,0.126890448952725,16842/78294/18707/16439/21414/12914/56637/19055/22031,9,UPREGULATED,CD8_Naive,0037
mmu05166,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),9/181,247/9771,0.0401925908675536,0.202925756642181,0.168942974429376,12445/12500/11513/18707/12502/21813/16818/12914/19055,9,UPREGULATED,CD8_Naive,0037
mmu04659,Th17 cell differentiation - Mus musculus (house mouse),8/181,105/9771,0.000717272981269358,0.0197250069849073,0.0164217761501142,18761/12503/12500/12502/21813/16818/12394/19055,8,UPREGULATED,CD8_Naive,0037
mmu04670,Leukocyte transendothelial migration - Mus musculus (house mouse),8/181,119/9771,0.00162074189740296,0.0274279398022039,0.0228347441415477,18751/74734/56508/21838/19354/18707/109711/18613,8,UPREGULATED,CD8_Naive,0037
mmu05162,Measles - Mus musculus (house mouse),8/181,145/9771,0.00548793023039606,0.0632100494781551,0.0526246344937751,12445/14694/12500/18707/12502/68135/56637/22031,8,UPREGULATED,CD8_Naive,0037
mmu04062,Chemokine signaling pathway - Mus musculus (house mouse),8/181,193/9771,0.0270583952729078,0.170081341715421,0.141598820375518,140580/18751/94176/11513/19354/18707/12769/56637,8,UPREGULATED,CD8_Naive,0037
mmu04510,Focal adhesion - Mus musculus (house mouse),8/181,202/9771,0.0341638645183251,0.187901254850788,0.156434537531278,12445/18751/19354/18707/14360/109711/16421/56637,8,UPREGULATED,CD8_Naive,0037
mmu04658,Th1 and Th2 cell differentiation - Mus musculus (house mouse),7/181,88/9771,0.00119671821050724,0.0250521212884123,0.020856789972171,18761/270118/12503/12500/12502/16818/19055,7,UPREGULATED,CD8_Naive,0037
mmu05235,PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (house mouse),7/181,88/9771,0.00119671821050724,0.0250521212884123,0.020856789972171,18761/12503/12500/18707/12502/16818/19055,7,UPREGULATED,CD8_Naive,0037
mmu04070,Phosphatidylinositol signaling system - Mus musculus (house mouse),7/181,96/9771,0.00198559594915381,0.0312022220581313,0.0259769695603581,18751/234515/13139/18707/16439/18718/320404,7,UPREGULATED,CD8_Naive,0037
mmu05215,Prostate cancer - Mus musculus (house mouse),7/181,100/9771,0.00250706023263794,0.0367702167453564,0.0306125249458948,16842/56458/18707/21417/21414/12914/56637,7,UPREGULATED,CD8_Naive,0037
mmu04919,Thyroid hormone signaling pathway - Mus musculus (house mouse),7/181,120/9771,0.00684947192681184,0.0684947192681184,0.0570243117351799,18751/56458/17978/18707/12914/20185/56637,7,UPREGULATED,CD8_Naive,0037
mmu04650,Natural killer cell mediated cytotoxicity - Mus musculus (house mouse),7/181,122/9771,0.00747959422720358,0.0715439447819473,0.0595629013974107,18751/12503/19354/18707/14360/16818/19055,7,UPREGULATED,CD8_Naive,0037
mmu04380,Osteoclast differentiation - Mus musculus (house mouse),7/181,136/9771,0.0131539416709616,0.115754686704462,0.0963699305577815,18707/16439/14360/21813/16818/12326/19055,7,UPREGULATED,CD8_Naive,0037
mmu04530,Tight junction - Mus musculus (house mouse),7/181,169/9771,0.0376029563376772,0.201771960836317,0.167982398016838,74117/102098/192786/17886/109711/83814/12394,7,UPREGULATED,CD8_Naive,0037
mmu04720,Long-term potentiation - Mus musculus (house mouse),6/181,67/9771,0.00145529266528307,0.0266803655301896,0.0222123617332679,18751/16439/110651/12914/12326/19055,6,UPREGULATED,CD8_Naive,0037
mmu04662,B cell receptor signaling pathway - Mus musculus (house mouse),6/181,84/9771,0.00457905145594646,0.0592583129593071,0.0493346720331073,18751/19354/18707/56637/19055/108723,6,UPREGULATED,CD8_Naive,0037
mmu05210,Colorectal cancer - Mus musculus (house mouse),6/181,88/9771,0.00574636813437774,0.0632100494781551,0.0526246344937751,16842/19354/18707/21813/21414/56637,6,UPREGULATED,CD8_Naive,0037
mmu04916,Melanogenesis - Mus musculus (house mouse),6/181,100/9771,0.0105464949071497,0.0966762033155388,0.0804864085019318,18751/16842/11513/21414/12914/56637,6,UPREGULATED,CD8_Naive,0037
mmu04064,NF-kappa B signaling pathway - Mus musculus (house mouse),6/181,107/9771,0.0143918223147121,0.121776958047564,0.10138368756113,18761/18751/16994/16818/108723/22031,6,UPREGULATED,CD8_Naive,0037
mmu04931,Insulin resistance - Mus musculus (house mouse),6/181,110/9771,0.0163054457586517,0.132859187663088,0.110610041403719,18761/18751/56458/18707/110651/56637,6,UPREGULATED,CD8_Naive,0037
mmu04725,Cholinergic synapse - Mus musculus (house mouse),6/181,113/9771,0.0183882386516644,0.142375709100811,0.118532887002589,18751/11513/18707/16439/14360/12326,6,UPREGULATED,CD8_Naive,0037
mmu04935,Growth hormone synthesis| secretion and action - Mus musculus (house mouse),6/181,117/9771,0.0214393586868595,0.152414389834021,0.126890448952725,18751/11513/18707/16439/12914/56637,6,UPREGULATED,CD8_Naive,0037
mmu04722,Neurotrophin signaling pathway - Mus musculus (house mouse),6/181,121/9771,0.024816466305463,0.160577134917702,0.133686227156364,11857/18707/110651/12326/56637/18213,6,UPREGULATED,CD8_Naive,0037
mmu04611,Platelet activation - Mus musculus (house mouse),6/181,125/9771,0.0285323020962429,0.174364068365929,0.145164343998429,11513/20866/18707/54519/16439/14360,6,UPREGULATED,CD8_Naive,0037
mmu04750,Inflammatory mediator regulation of TRP channels - Mus musculus (house mouse),6/181,130/9771,0.0336706331382944,0.187901254850788,0.156434537531278,18761/18751/11513/18755/18707/16439,6,UPREGULATED,CD8_Naive,0037
mmu03082,ATP-dependent chromatin remodeling - Mus musculus (house mouse),6/181,136/9771,0.0405851513284362,0.202925756642181,0.168942974429376,239985/116871/229542/17191/93760/67155,6,UPREGULATED,CD8_Naive,0037
mmu04270,Vascular smooth muscle contraction - Mus musculus (house mouse),6/181,144/9771,0.0511156295115456,0.239264648777448,0.199196406159215,18761/18751/11513/18755/17886/16439,6,UPREGULATED,CD8_Naive,0037
mmu05340,Primary immunodeficiency - Mus musculus (house mouse),5/181,36/9771,0.000488284101864315,0.0153460717728785,0.0127761554472768,12526/12525/12500/19264/16818,5,UPREGULATED,CD8_Naive,0037
mmu04666,Fc gamma R-mediated phagocytosis - Mus musculus (house mouse),5/181,94/9771,0.0301852770474535,0.179480025687561,0.149423562055673,18751/74117/19354/18707/19264,5,UPREGULATED,CD8_Naive,0037
mmu05142,Chagas disease - Mus musculus (house mouse),5/181,103/9771,0.0422385457430752,0.206499556966145,0.171918291445499,12503/12500/18707/12502/21813,5,UPREGULATED,CD8_Naive,0037
mmu04370,VEGF signaling pathway - Mus musculus (house mouse),4/181,58/9771,0.0222366005254305,0.152414389834021,0.126890448952725,18751/19354/18707/19055,4,UPREGULATED,CD8_Naive,0037
mmu05213,Endometrial cancer - Mus musculus (house mouse),4/181,58/9771,0.0222366005254305,0.152414389834021,0.126890448952725,16842/18707/21414/56637,4,UPREGULATED,CD8_Naive,0037
mmu05221,Acute myeloid leukemia - Mus musculus (house mouse),4/181,70/9771,0.040583385579097,0.202925756642181,0.168942974429376,16842/18707/21414/12394,4,UPREGULATED,CD8_Naive,0037
mmu00562,Inositol phosphate metabolism - Mus musculus (house mouse),4/181,72/9771,0.0442774357141296,0.211761649067576,0.176299171950997,234515/18707/18718/320404,4,UPREGULATED,CD8_Naive,0037
mmu05220,Chronic myeloid leukemia - Mus musculus (house mouse),4/181,76/9771,0.0522132278172803,0.239310627495868,0.199234685092254,18707/12402/21813/12394,4,UPREGULATED,CD8_Naive,0037
mmu04960,Aldosterone-regulated sodium reabsorption - Mus musculus (house mouse),3/181,38/9771,0.0328263034681851,0.187901254850788,0.156434537531278,18751/18707/83814,3,UPREGULATED,CD8_Naive,0037
mmu05330,Allograft rejection - Mus musculus (house mouse),1/2,60/9771,0.0122441578472506,0.0247944458289293,NA,14939,1,DOWNREGULATED,CD8_Naive,0037
mmu05332,Graft-versus-host disease - Mus musculus (house mouse),1/2,60/9771,0.0122441578472506,0.0247944458289293,NA,14939,1,DOWNREGULATED,CD8_Naive,0037
mmu00970,Aminoacyl-tRNA biosynthesis - Mus musculus (house mouse),1/2,66/9771,0.0134644254136196,0.0247944458289293,NA,102436,1,DOWNREGULATED,CD8_Naive,0037
mmu04940,Type I diabetes mellitus - Mus musculus (house mouse),1/2,67/9771,0.0136677300142557,0.0247944458289293,NA,14939,1,DOWNREGULATED,CD8_Naive,0037
mmu05320,Autoimmune thyroid disease - Mus musculus (house mouse),1/2,76/9771,0.0154965286430808,0.0247944458289293,NA,14939,1,DOWNREGULATED,CD8_Naive,0037
mmu04650,Natural killer cell mediated cytotoxicity - Mus musculus (house mouse),1/2,122/9771,0.0248172191286919,0.0313637631487635,NA,14939,1,DOWNREGULATED,CD8_Naive,0037
mmu04210,Apoptosis - Mus musculus (house mouse),1/2,135/9771,0.0274432927551681,0.0313637631487635,NA,14939,1,DOWNREGULATED,CD8_Naive,0037
mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),1/2,226/9771,0.0457266699119142,0.0457266699119142,NA,14939,1,DOWNREGULATED,CD8_Naive,0037
mmu04061,Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse),5/14,95/9771,1.45968891263031e-07,8.32022680199279e-06,7.83622468885748e-06,16182/20304/16174/13051/20290,5,UPREGULATED,CD8_Exhausted_2,0037
mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (house mouse),5/14,294/9771,3.81733089725694e-05,0.00108793930571823,0.00102465197768476,16182/20304/16174/13051/20290,5,UPREGULATED,CD8_Exhausted_2,0037
mmu04062,Chemokine signaling pathway - Mus musculus (house mouse),3/14,193/9771,0.0023519481029932,0.0446870139568709,0.0420874923693521,20304/13051/20290,3,UPREGULATED,CD8_Exhausted_2,0037
mmu05321,Inflammatory bowel disease - Mus musculus (house mouse),2/14,62/9771,0.00343240269640808,0.0489117384238151,0.0460664572412663,16182/16174,2,UPREGULATED,CD8_Exhausted_2,0037
mmu04668,TNF signaling pathway - Mus musculus (house mouse),2/14,118/9771,0.0119692816935908,0.136449811306935,0.128512287657501,16182/20304,2,UPREGULATED,CD8_Exhausted_2,0037
mmu04210,Apoptosis - Mus musculus (house mouse),4/40,135/9771,0.00216639746808426,0.13215024555314,0.12656322050387,11797/78943/16906/12125,4,DOWNREGULATED,CD8_Exhausted_2,0037
mmu02010,ABC transporters - Mus musculus (house mouse),3/40,52/9771,0.00122246518396291,0.13215024555314,0.12656322050387,18671/56325/18669,3,DOWNREGULATED,CD8_Exhausted_2,0037
mmu03010,Ribosome - Mus musculus (house mouse),5/15,265/9771,3.39522068820296e-05,0.00129018386151712,0.00117939244958629,269261/22121/20054/20044/268449,5,UPREGULATED,CD8_Effector,0037
mmu05171,Coronavirus disease - COVID-19 - Mus musculus (house mouse),5/15,334/9771,0.000102502316143529,0.00194754400672705,0.00178030338565077,269261/22121/20054/20044/268449,5,UPREGULATED,CD8_Effector,0037
mmu04640,Hematopoietic cell lineage - Mus musculus (house mouse),2/15,94/9771,0.00886261441122659,0.112259782542204,0.102619745814203,12526/16184,2,UPREGULATED,CD8_Effector,0037
mmu05162,Measles - Mus musculus (house mouse),2/15,145/9771,0.0202352465565247,0.192234842286985,0.175727141148767,12445/16184,2,UPREGULATED,CD8_Effector,0037
mmu04630,JAK-STAT signaling pathway - Mus musculus (house mouse),2/15,171/9771,0.0275334335521638,0.209254094996445,0.191284906783454,12445/16184,2,UPREGULATED,CD8_Effector,0037
mmu05171,Coronavirus disease - COVID-19 - Mus musculus (house mouse),27/39,334/9771,2.45962070437648e-31,3.19750691568943e-29,3.18456154356113e-29,319195/267019/20103/19946/20044/269261/65019/67097/19989/68052/78294/27050/20115/18186/19899/270106/66480/67115/20055/27207/14109/76808/20102/20084/18707/19933/19921,27,UPREGULATED,CD8_CM1,0037
mmu03010,Ribosome - Mus musculus (house mouse),25/39,265/9771,2.35094027415083e-30,1.52811117819804e-28,1.52192449326607e-28,319195/267019/20103/19946/20044/269261/65019/67097/19989/68052/78294/27050/20115/19899/270106/66480/67115/20055/27207/14109/76808/20102/20084/19933/19921,25,UPREGULATED,CD8_CM1,0037
mmu04670,Leukocyte transendothelial migration - Mus musculus (house mouse),2/9,119/9771,0.00500720944545729,0.120593213211835,0.0836651479220866,12767/22165,2,DOWNREGULATED,CD8_CM1,0037
mmu05169,Epstein-Barr virus infection - Mus musculus (house mouse),2/9,228/9771,0.0175165291779926,0.120593213211835,0.0836651479220866,12125/21929,2,DOWNREGULATED,CD8_CM1,0037
mmu05206,MicroRNAs in cancer - Mus musculus (house mouse),2/9,303/9771,0.0298753026569572,0.131451331690612,0.0911982923212377,12125/18669,2,DOWNREGULATED,CD8_CM1,0037
mmu03260,Virion - Human immunodeficiency virus - Mus musculus (house mouse),1/9,10/9771,0.00917705511862965,0.120593213211835,0.0836651479220866,12767,1,DOWNREGULATED,CD8_CM1,0037
mmu00604,Glycosphingolipid biosynthesis - ganglio series - Mus musculus (house mouse),1/9,15/9771,0.0137374476436365,0.120593213211835,0.0836651479220866,15212,1,DOWNREGULATED,CD8_CM1,0037
mmu00603,Glycosphingolipid biosynthesis - globo and isoglobo series - Mus musculus (house mouse),1/9,17/9771,0.0155563740997503,0.120593213211835,0.0836651479220866,15212,1,DOWNREGULATED,CD8_CM1,0037
mmu00511,Other glycan degradation - Mus musculus (house mouse),1/9,18/9771,0.016464718638719,0.120593213211835,0.0836651479220866,15212,1,DOWNREGULATED,CD8_CM1,0037
mmu00531,Glycosaminoglycan degradation - Mus musculus (house mouse),1/9,21/9771,0.0191852839200647,0.120593213211835,0.0836651479220866,15212,1,DOWNREGULATED,CD8_CM1,0037
mmu00790,Folate biosynthesis - Mus musculus (house mouse),1/9,26/9771,0.0237046969867668,0.130375833427217,0.0904521332389786,268566,1,DOWNREGULATED,CD8_CM1,0037
mmu04215,Apoptosis - multiple species - Mus musculus (house mouse),1/9,32/9771,0.0291035517742928,0.131451331690612,0.0911982923212377,12125,1,DOWNREGULATED,CD8_CM1,0037
mmu00513,Various types of N-glycan biosynthesis - Mus musculus (house mouse),1/9,43/9771,0.0389325670307681,0.142752745779483,0.0990389863063399,15212,1,DOWNREGULATED,CD8_CM1,0037
mmu04672,Intestinal immune network for IgA production - Mus musculus (house mouse),1/9,43/9771,0.0389325670307681,0.142752745779483,0.0990389863063399,12767,1,DOWNREGULATED,CD8_CM1,0037
mmu00520,Amino sugar and nucleotide sugar metabolism - Mus musculus (house mouse),1/9,52/9771,0.0469085941215834,0.145358879626837,0.100847069597566,15212,1,DOWNREGULATED,CD8_CM1,0037
mmu02010,ABC transporters - Mus musculus (house mouse),1/9,52/9771,0.0469085941215834,0.145358879626837,0.100847069597566,18669,1,DOWNREGULATED,CD8_CM1,0037
mmu00600,Sphingolipid metabolism - Mus musculus (house mouse),1/9,55/9771,0.049554163509149,0.145358879626837,0.100847069597566,15212,1,DOWNREGULATED,CD8_CM1,0037
mmu03250,Viral life cycle - HIV-1 - Mus musculus (house mouse),1/9,63/9771,0.0565771311190548,0.153220494975311,0.106301300341723,12767,1,DOWNREGULATED,CD8_CM1,0037
