ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Regulation,Cell_Population,Treatment
mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (house mouse),5/11,294/9771,9.4911948408481e-06,0.000180332701976114,0.000144865605465576,12772/20304/16197/16184/16182,5,UPREGULATED,CD8_EM,0119
mmu04061,Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse),4/11,95/9771,2.6267456349609e-06,9.98163341285141e-05,8.01848667514379e-05,12772/20304/16184/16182,4,UPREGULATED,CD8_EM,0119
mmu04658,Th1 and Th2 cell differentiation - Mus musculus (house mouse),2/11,88/9771,0.00418393806788216,0.0452185857447593,0.0363251796841557,16184/19664,2,UPREGULATED,CD8_EM,0119
mmu04640,Hematopoietic cell lineage - Mus musculus (house mouse),2/11,94/9771,0.00475985113102729,0.0452185857447593,0.0363251796841557,16197/16184,2,UPREGULATED,CD8_EM,0119
mmu04668,TNF signaling pathway - Mus musculus (house mouse),2/11,118/9771,0.00740709071014019,0.0500368838270299,0.0401958346532927,20304/16182,2,UPREGULATED,CD8_EM,0119
mmu04650,Natural killer cell mediated cytotoxicity - Mus musculus (house mouse),2/11,122/9771,0.00790056060426788,0.0500368838270299,0.0401958346532927,27007/16641,2,UPREGULATED,CD8_EM,0119
mmu04630,JAK-STAT signaling pathway - Mus musculus (house mouse),2/11,171/9771,0.0150968783598431,0.0819544825248627,0.065836010892549,16197/16184,2,UPREGULATED,CD8_EM,0119
mmu04062,Chemokine signaling pathway - Mus musculus (house mouse),2/11,193/9771,0.018985984040361,0.0901834241917149,0.0724465180487461,12772/20304,2,UPREGULATED,CD8_EM,0119
mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),2/11,367/9771,0.0618506121961615,0.186513222140782,0.149830566262678,16197/16184,2,UPREGULATED,CD8_EM,0119
mmu05340,Primary immunodeficiency - Mus musculus (house mouse),1/11,36/9771,0.039809683805298,0.168085331622369,0.13502699770218,16197,1,UPREGULATED,CD8_EM,0119
mmu05144,Malaria - Mus musculus (house mouse),1/11,57/9771,0.0623611585507379,0.186513222140782,0.149830566262678,27007,1,UPREGULATED,CD8_EM,0119
mmu05332,Graft-versus-host disease - Mus musculus (house mouse),1/11,60/9771,0.0655431881213425,0.186513222140782,0.149830566262678,16641,1,UPREGULATED,CD8_EM,0119
mmu05321,Inflammatory bowel disease - Mus musculus (house mouse),1/11,62/9771,0.0676590838933369,0.186513222140782,0.149830566262678,16182,1,UPREGULATED,CD8_EM,0119
mmu04330,Notch signaling pathway - Mus musculus (house mouse),1/11,63/9771,0.0687153976308142,0.186513222140782,0.149830566262678,19664,1,UPREGULATED,CD8_EM,0119
mmu04623,Cytosolic DNA-sensing pathway - Mus musculus (house mouse),1/11,82/9771,0.0885797683863246,0.197901490761499,0.15897903689982,20304,1,UPREGULATED,CD8_EM,0119
mmu04662,B cell receptor signaling pathway - Mus musculus (house mouse),1/11,84/9771,0.0906481858287737,0.197901490761499,0.15897903689982,68713,1,UPREGULATED,CD8_EM,0119
mmu04612,Antigen processing and presentation - Mus musculus (house mouse),1/11,87/9771,0.0937428114133418,0.197901490761499,0.15897903689982,16641,1,UPREGULATED,CD8_EM,0119
mmu05323,Rheumatoid arthritis - Mus musculus (house mouse),1/11,87/9771,0.0937428114133418,0.197901490761499,0.15897903689982,20304,1,UPREGULATED,CD8_EM,0119
mmu05142,Chagas disease - Mus musculus (house mouse),1/11,103/9771,0.110086387171424,0.202866403881529,0.16296747126217,20304,1,UPREGULATED,CD8_EM,0119
