date,id,businessName,tradeName,email,phone,licenseNo,countrycode,stateCode,addressstate,countyName,cityName,zip,lat,lon,appLicenseTypeCode,factlicenseid,dimcityid,dimcountyid,dimstateid,dimcountryid,recordstatus,statusDate,rowchangeddate,address,website,issuedate,expirydate,licensestatus,category,usage,remarks,bnddexpirydate,isapproxLocation,facebook,twitter,linkedin,hasContact,instagram,contactname,contactphone,contactemail,contacttype,contactaddress,contactfirstname,contactlastname,linkedoperatorname,Business Name,No Of Licenses,No Of States
1695513600000,697b4a8087feea66a989436ba067b244,Bloominati Farms LLC,Bloominati Farms,bloominatifarms@gmail.com,479-414-7925,GAAA-NY2P-GA5B,US,OK,OK,Sequoyah,Gore,74435,35.623103,-95.07791,Grower,697b4a8087feea66a989436ba067b244,GORE,Sequoyah,OK,US,T,,1695582752000,99083 S 4458 Rd,,,2023-10-20,Active,Marijuana,,,2022-10-31,N,,,,Y,,Patricia Nicol,,,Owner,,Patricia,Nicol,Bloominati Farms LLC,Bloominati Farms LLC,2.0,2
1694217600000,d1ea09a66da8323e1972dd5076db0150,Bloominati Farms LLC,Bloominati Farms LLC,,,AU-G-C-001217,US,MI,MI,Macomb,Warren,48089,42.473771,-83.004028,Grower,d1ea09a66da8323e1972dd5076db0150, Warren ,Macomb County,MI,US,T,,1694236736000,11766 Commerce St,,,06/29/2024,Active,Marijuana,Recreational,,,N,,,,N,,,,,,,,,Bloominati Farms LLC,Bloominati Farms LLC,2.0,2
1695513600000,9d758d1a9317abec05ea561e3c546d69,"Bloom Medicinals Of Mo Cultivation 1, LLC","Bloom Medicinals Of Mo Cultivation 1, LLC",nicole@bloommedicinals.com,561-305-3656,CUL000029,US,MO,MO,St. Charles,O'Fallon,63366,38.813222499999995,-90.67920600000001,Grower,9d758d1a9317abec05ea561e3c546d69,O'Fallon,St. Charles County,MO,US,T,,1695582731000,2 South Cool Springs Industrial Drive,https://bloommedicinals.com/,,,Active,Marijuana,,,,N,https://www.facebook.com/bloomdispos/,https://twitter.com/bloommedicinals,,Y,https://www.instagram.com/BloomMedicinals/,Nicole Stark,561-305-3656,nicole@bloommedicinals.com,CEO,,Nicole,Stark,Bloom Medicinals,Bloom Medicinals,13.0,3
1695513600000,54ab91713849d4fd1e3e20ede9deb9bf,"Bloom Medicinals Of Mo Cultivation 2, LLC","Bloom Medicinals Of Mo Cultivation 2, LLC",nicole@bloommedicinals.com,561-305-3656,MAN000083,US,MO,MO,Clinton,Cameron,64429,39.74028010000001,-94.241057,Processor,54ab91713849d4fd1e3e20ede9deb9bf,Cameron,Clinton County,MO,US,T,,1695582731000,7700 Forsyth Blvd.,https://bloommedicinals.com/locations,,,Active,Marijuana,,,,N,https://www.facebook.com/bloomdispos/,https://twitter.com/bloommedicinals,,Y,https://www.instagram.com/BloomMedicinals/,Nicole Stark,561-305-3656,nicole@bloommedicinals.com,CEO,,Nicole,Stark,Bloom Medicinals,Bloom Medicinals,13.0,3
1695513600000,19e60a92c58ad84fc59e0543dd6bacf2,"Bloom Medicinals Of Mo Dispensary 1, LLC","Bloom Medicinals Of Mo Dispensary 1, LLC",jviola@bloomohio.com,419-482-8240,DIS000111,US,MO,MO,Cape Girardeau,Cape Girardeau,63701,37.3131531,-89.54234740000001,Dispensary,19e60a92c58ad84fc59e0543dd6bacf2,Cape Girardeau,Cape Girardeau County,MO,US,T,,1695582731000,1802 Broadway Street,https://bloommedicinals.com/missouri/cape-girardeau-dispensary-mo,,,Active,Marijuana,,,,N,https://www.facebook.com/bloomdispos/,https://twitter.com/bloommedicinals,,Y,https://www.instagram.com/BloomMedicinals/,Jasmine Viola,419-482-8240,jviola@bloomohio.com,National Operations Manager,,Jasmine,Viola,Bloom Medicinals,Bloom Medicinals,13.0,3
1695513600000,f76298dbe3bab328e6105d18743ff9b4,"Bloom Medicinals Of Mo Dispensary 1, LLC","Bloom Medicinals Of Mo Dispensary 1, LLC",jviola@bloomohio.com,419-482-8240,DIS000064,US,MO,MO,St. Charles,O'Fallon,63304,38.7553753,-90.6974507,Dispensary,f76298dbe3bab328e6105d18743ff9b4,O'Fallon,St. Charles County,MO,US,T,,1695582731000,6700 Highway North,https://bloommedicinals.com/missouri/ofallon-dispensary-mo,,,Active,Marijuana,,,,N,https://www.facebook.com/bloomdispos/,https://twitter.com/bloommedicinals,,Y,https://www.instagram.com/BloomMedicinals/,Jasmine Viola,419-482-8240,jviola@bloomohio.com,National Operations Manager,,Jasmine,Viola,Bloom Medicinals,Bloom Medicinals,13.0,3
1695513600000,68dcd42d81cc82d1fb80d6d5faa40e45,"Bloom Medicinals Of Mo, LLC","Bloom Medicinals Of Mo, LLC",jviola@bloomohio.com,419-482-8240,DIS000102,US,MO,MO,Greene,Springfield,65802,37.2005537,-93.2625901,Dispensary,68dcd42d81cc82d1fb80d6d5faa40e45,Springfield,Greene County,MO,US,T,,1695582731000,751 S. Glenstone Avenue,https://bloommedicinals.com/missouri/springfield-dispensary-mo,,,Active,Marijuana,,,,N,https://www.facebook.com/bloomdispos/,https://twitter.com/bloommedicinals,,Y,https://www.instagram.com/BloomMedicinals/,Jasmine Viola,419-482-8240,jviola@bloomohio.com,National Operations Manager,,Jasmine,Viola,Bloom Medicinals,Bloom Medicinals,13.0,3
1695513600000,e636bcbb4a4480d651e59cd1970b2658,"Bloom Medicinals Of Mo Cultivation 2, LLC","Bloom Medicinals Of Mo Cultivation 2, LLC",nicole@bloommedicinals.com,561-305-3656,CUL000036,US,MO,MO,Clinton,Cameron,64429,39.74028010000001,-94.241057,Grower,e636bcbb4a4480d651e59cd1970b2658,Cameron,Clinton County,MO,US,T,,1695582731000,7700 Forsyth Blvd.,https://bloommedicinals.com/locations,,,Active,Marijuana,,,,N,https://www.facebook.com/bloomdispos/,https://twitter.com/bloommedicinals,,Y,https://www.instagram.com/BloomMedicinals/,Nicole Stark,561-305-3656,nicole@bloommedicinals.com,CEO,,Nicole,Stark,Bloom Medicinals,Bloom Medicinals,13.0,3
1695513600000,54ff465a2aa3f792e3baf9f22e68255f,"Bloom Medicinals Of Mo, LLC","Bloom Medicinals Of Mo, LLC",nicole@bloommedicinals.com,561-305-3656,DIS000007,US,MO,MO,Clinton,Cameron,64429,39.7395093,-94.23558890000001,Dispensary,54ff465a2aa3f792e3baf9f22e68255f,Cameron,Clinton County,MO,US,T,,1695582731000,121 S Walnut St,https://bloommedicinals.com/missouri/cameron-dispensary-mo,,,Active,Marijuana,,,,N,https://www.facebook.com/bloomdispos/,https://twitter.com/bloommedicinals,,Y,https://www.instagram.com/BloomMedicinals/,Nicole Stark,561-305-3656,nicole@bloommedicinals.com,CEO,,Nicole,Stark,Bloom Medicinals,Bloom Medicinals,13.0,3
1695513600000,f6ff0830ffd5d6400fab2b77129db401,"Maryleaf, Inc.",Bloom Medicinals,cjohnson@shopatbloom.com,240-813-8818,D-17-00018,US,MD,MD,Montgomery,Germantown,20876,39.179458200000006,-77.239409,Dispensary,f6ff0830ffd5d6400fab2b77129db401,,,MD,US,T,,1695582777000,11530 Middlebrook Rd,,2022-09-23,,Approved / Active,Marijuana,Medical,,,N,,,,Y,,Andrew Wagner,630-207-5257,cjohnson@shopatbloom.com,Primary Contact,"127 NW 13th Street, Suite C13, Boca Raton, FL, 33432",Andrew,Wagner,Bloom Medicinals,Bloom Medicinals,13.0,3
