ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Regulation,Cell_Population,Treatment
GO:0035455,response to interferon-alpha,31/28943,3.33E-06,7.09E-05,1.41E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0046597,negative regulation of viral entry into host cell,31/28943,3.33E-06,7.09E-05,1.41E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:1903901,negative regulation of viral life cycle,34/28943,4.02E-06,7.09E-05,1.41E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0046596,regulation of viral entry into host cell,52/28943,9.49E-06,7.62E-05,1.51E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0060337,type I interferon signaling pathway,56/28943,1.10E-05,7.62E-05,1.51E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0071357,cellular response to type I interferon,56/28943,1.10E-05,7.62E-05,1.51E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0052372,modulation by symbiont of entry into host,57/28943,1.14E-05,7.62E-05,1.51E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0045071,negative regulation of viral genome replication,58/28943,1.18E-05,7.62E-05,1.51E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0034340,response to type I interferon,62/28943,1.35E-05,7.62E-05,1.51E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0035456,response to interferon-beta,65/28943,1.49E-05,7.62E-05,1.51E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0043903,regulation of biological process involved in symbiotic interaction,67/28943,1.58E-05,7.62E-05,1.51E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0045069,regulation of viral genome replication,95/28943,3.19E-05,0.00014095,2.80E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0048525,negative regulation of viral process,101/28943,3.61E-05,0.000144893,2.88E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0046718,viral entry into host cell,104/28943,3.83E-05,0.000144893,2.88E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0044409,entry into host,108/28943,4.13E-05,0.000145875,2.90E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
GO:0044000,movement in host,127/28943,5.71E-05,0.000186692,3.71E-06,Ifitm1/Ifitm2,2,UPREGULATED,CD8_EM,119
