ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Regulation,Cell_Population,Treatment
GO:0045071,negative regulation of viral genome replication,58/28943,9.07E-07,0.000315741,0.000128932,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:0045069,regulation of viral genome replication,95/28943,4.04E-06,0.000564005,0.00023031,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:0048525,negative regulation of viral process,101/28943,4.86E-06,0.000564005,0.00023031,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:0019079,viral genome replication,130/28943,1.04E-05,0.000883268,0.000360681,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:0034341,response to interferon-gamma,139/28943,1.27E-05,0.000883268,0.000360681,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:1903900,regulation of viral life cycle,151/28943,1.63E-05,0.000943199,0.000385154,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:0050792,regulation of viral process,175/28943,2.53E-05,0.001256435,0.000513063,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:0019058,viral life cycle,261/28943,8.30E-05,0.002626194,0.001072402,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:0044403,biological process involved in symbiotic interaction,272/28943,9.38E-05,0.002720548,0.001110932,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:0051607,defense response to virus,289/28943,0.000112249,0.002818848,0.001151072,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:0140546,defense response to symbiont,290/28943,0.000113402,0.002818848,0.001151072,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:0009615,response to virus,347/28943,0.000192594,0.00341312,0.001393742,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:0016032,viral process,355/28943,0.000205964,0.00341312,0.001393742,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:0019221,cytokine-mediated signaling pathway,421/28943,0.00033986,0.004730846,0.001931834,Ccl5/Ifitm3/Ifitm1,3,UPREGULATED,CD8_EM,307
GO:0035455,response to interferon-alpha,31/28943,4.97E-05,0.001921493,0.000784639,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,307
GO:0046597,negative regulation of viral entry into host cell,31/28943,4.97E-05,0.001921493,0.000784639,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,307
GO:1903901,negative regulation of viral life cycle,34/28943,5.99E-05,0.002085216,0.000851495,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,307
GO:0046596,regulation of viral entry into host cell,52/28943,0.00014116,0.003274912,0.001337305,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,307
GO:0060337,type I interferon signaling pathway,56/28943,0.000163821,0.003281765,0.001340104,Ifitm3/Ifitm1,2,UPREGULATED,CD8_EM,307
