ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Regulation,Cell_Population,Treatment
GO:0045071,negative regulation of viral genome replication,58/28943,3.02E-09,1.17E-06,3.88E-07,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:0045069,regulation of viral genome replication,95/28943,2.25E-08,3.71E-06,1.24E-06,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:0048525,negative regulation of viral process,101/28943,2.89E-08,3.71E-06,1.24E-06,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:0019079,viral genome replication,130/28943,7.99E-08,7.04E-06,2.34E-06,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:0034341,response to interferon-gamma,139/28943,1.05E-07,7.04E-06,2.34E-06,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:1903900,regulation of viral life cycle,151/28943,1.46E-07,7.04E-06,2.34E-06,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:0050792,regulation of viral process,175/28943,2.64E-07,1.02E-05,3.39E-06,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:0019058,viral life cycle,261/28943,1.30E-06,2.95E-05,9.82E-06,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:0044403,biological process involved in symbiotic interaction,272/28943,1.53E-06,3.11E-05,1.04E-05,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:0051607,defense response to virus,289/28943,1.95E-06,3.63E-05,1.21E-05,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:0140546,defense response to symbiont,290/28943,1.98E-06,3.63E-05,1.21E-05,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:0009615,response to virus,347/28943,4.03E-06,7.07E-05,2.35E-05,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:0016032,viral process,355/28943,4.41E-06,7.40E-05,2.46E-05,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:0019221,cytokine-mediated signaling pathway,421/28943,8.65E-06,0.000128379,4.27E-05,Ifitm1/Ccl5/Ifitm2/Ifitm3,4,UPREGULATED,CD8_EM,34
GO:0035455,response to interferon-alpha,31/28943,1.33E-07,7.04E-06,2.34E-06,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:0046597,negative regulation of viral entry into host cell,31/28943,1.33E-07,7.04E-06,2.34E-06,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:1903901,negative regulation of viral life cycle,34/28943,1.77E-07,7.58E-06,2.52E-06,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:0046596,regulation of viral entry into host cell,52/28943,6.51E-07,2.28E-05,7.59E-06,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:0060337,type I interferon signaling pathway,56/28943,8.15E-07,2.37E-05,7.89E-06,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:0071357,cellular response to type I interferon,56/28943,8.15E-07,2.37E-05,7.89E-06,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:0052372,modulation by symbiont of entry into host,57/28943,8.61E-07,2.37E-05,7.89E-06,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:0034340,response to type I interferon,62/28943,1.11E-06,2.86E-05,9.51E-06,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:0035456,response to interferon-beta,65/28943,1.28E-06,2.95E-05,9.82E-06,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:0043903,regulation of biological process involved in symbiotic interaction,67/28943,1.41E-06,3.02E-05,1.00E-05,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:0046718,viral entry into host cell,104/28943,5.31E-06,8.54E-05,2.84E-05,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:0044409,entry into host,108/28943,5.95E-06,9.18E-05,3.06E-05,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:0044000,movement in host,127/28943,9.68E-06,0.000138396,4.60E-05,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:0051701,biological process involved in interaction with host,163/28943,2.04E-05,0.000281794,9.38E-05,Ifitm1/Ifitm2/Ifitm3,3,UPREGULATED,CD8_EM,34
GO:0042129,regulation of T cell proliferation,196/28943,3.54E-05,0.00047168,0.000156927,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:0042098,T cell proliferation,237/28943,6.24E-05,0.000802267,0.000266912,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:0050670,regulation of lymphocyte proliferation,253/28943,7.57E-05,0.000942497,0.000313566,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:0032944,regulation of mononuclear cell proliferation,258/28943,8.02E-05,0.000967596,0.000321916,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:0070663,regulation of leukocyte proliferation,280/28943,0.000102219,0.001195649,0.000397789,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:0046651,lymphocyte proliferation,344/28943,0.000187731,0.002131296,0.000709076,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:1902105,regulation of leukocyte differentiation,349/28943,0.000195882,0.002135933,0.000710619,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:0032943,mononuclear cell proliferation,351/28943,0.000199206,0.002135933,0.000710619,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:1903037,regulation of leukocyte cell-cell adhesion,371/28943,0.000234487,0.002381899,0.000792451,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:0050863,regulation of T cell activation,378/28943,0.000247733,0.002451922,0.000815747,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:0070661,leukocyte proliferation,384/28943,0.000259466,0.002503849,0.000833023,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:0007159,leukocyte cell-cell adhesion,411/28943,0.000316735,0.002981945,0.000992084,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:1903706,regulation of hemopoiesis,435/28943,0.000374034,0.003357605,0.001117065,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:0022407,regulation of cell-cell adhesion,497/28943,0.000552036,0.004549693,0.001513669,Il2ra/Ccl5/Ctla4,3,UPREGULATED,CD8_EM,34
GO:0070231,T cell apoptotic process,66/28943,0.000227759,0.002376076,0.000790513,Il2ra/Ccl5,2,UPREGULATED,CD8_EM,34
GO:0045669,positive regulation of osteoblast differentiation,79/28943,0.000326361,0.002999414,0.000997896,Ifitm1/Ifitm3,2,UPREGULATED,CD8_EM,34
GO:0050672,negative regulation of lymphocyte proliferation,95/28943,0.000471571,0.004130335,0.00137415,Il2ra/Ctla4,2,UPREGULATED,CD8_EM,34
GO:0032945,negative regulation of mononuclear cell proliferation,96/28943,0.000481516,0.004130335,0.00137415,Il2ra/Ctla4,2,UPREGULATED,CD8_EM,34
GO:0070664,negative regulation of leukocyte proliferation,103/28943,0.000553978,0.004549693,0.001513669,Il2ra/Ctla4,2,UPREGULATED,CD8_EM,34
GO:0070227,lymphocyte apoptotic process,109/28943,0.000620048,0.004973993,0.001654833,Il2ra/Ccl5,2,UPREGULATED,CD8_EM,34
GO:0042102,positive regulation of T cell proliferation,110/28943,0.000631414,0.004973993,0.001654833,Il2ra/Ccl5,2,UPREGULATED,CD8_EM,34
GO:0050868,negative regulation of T cell activation,134/28943,0.000934393,0.007213515,0.002399915,Il2ra/Ctla4,2,UPREGULATED,CD8_EM,34
GO:0071887,leukocyte apoptotic process,148/28943,0.001137709,0.008397143,0.002793704,Il2ra/Ccl5,2,UPREGULATED,CD8_EM,34
GO:1903038,negative regulation of leukocyte cell-cell adhesion,148/28943,0.001137709,0.008397143,0.002793704,Il2ra/Ctla4,2,UPREGULATED,CD8_EM,34
